,FIPS,POPGROUP,POPGROUP_LABEL,estimated_pop,pred_wght,relative_weight,weighted_average,std_dev_parts_and_actual
1185,48201,46,Sri Lankan alone in any combination,876,9.69979688545933,8497.022071662373,,118.83467841502639
2499,06059,46,Sri Lankan alone in any combination,1864,9.16850397509893,17090.091409584405,,49.511122597595396
1953,51059,46,Sri Lankan alone in any combination,1064,8.53482384337623,9081.052569352309,,675.2823355641392
1479,34023,46,Sri Lankan alone in any combination,1037,9.03069663050806,9364.83240583686,,93.81915193315153
1571,36085,46,Sri Lankan alone in any combination,1520,8.95884294892582,13617.441282367246,,211.06672825894282
2630,25017,46,Sri Lankan alone in any combination,662,6.47873808499852,4288.92461226902,,5387.452997665299
1058,06037,46,Sri Lankan alone in any combination,6215,10.0245384042183,62302.50618221673,,2985.235416869073
456,06085,46,Sri Lankan alone in any combination,817,9.52476700749084,7781.7346451200165,,30.522453099618073
826,36081,46,Sri Lankan alone in any combination,2142,9.26689393328259,19849.686805091307,,8.935542399373064
2540,24031,46,Sri Lankan alone in any combination,2002,8.82256236656146,17662.76985785604,,518.5159126812295
2397,06001,46,Sri Lankan alone in any combination,928,9.64136846914229,8947.189939364045,,89.11562415579759
11,,46,Sri Lankan alone in any combination,19127,,178483.25178072034,9.331481768218767,0.7291226251899439
